House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
42,Fish Lane,Lynn,Miller,42,Head,Single,Female,Advertising account planner,None,None
42,Fish Lane,Joel,Rogers,44,Partner,Single,Male,Seismic interpreter,None,None
42,Fish Lane,Elaine,Miller,11,Daughter,NA,Female,Student,None,NA
42,Fish Lane,Karen,Miller,10,Daughter,NA,Female,Student,None,NA
43,Fish Lane,Sylvia,Townsend,67,Head,Widowed,Female,Research scientist (life sciences),None,Christian
1,Buckley Road,Rachael,Hurst,42,Head,Single,Female,Unemployed,None,None
1,Buckley Road,Antony,Greenwood,51,Lodger,Single,Male,Community education officer,None,Catholic
2,Buckley Road,Jeremy,Davey,31,Head,Single,Male,"Engineer, manufacturing systems",Physical Disability,Methodist
2,Buckley Road,Ruth,Spencer,64,None,Single,Female,Unemployed,None,Christian
3,Buckley Road,Lawrence,Hooper,51,Head,Married,Male,Unemployed,None,Christian
3,Buckley Road,Eleanor,Hooper,52,Wife,Married,Female,Hospital doctor,None,Christian
4,Buckley Road,Hollie,Jackson,72,Head,Widowed,Female,Retired Immunologist,None,Catholic
4,Buckley Road,George,Griffiths-Jackson,29,Son,Divorced,Male,IT consultant,None,Catholic
5,Buckley Road,Chelsea,Clarke,32,Head,Married,Female,"Investment banker, corporate",None,Methodist
5,Buckley Road,Richard,Clarke,31,Husband,Married,Male,Barrister,None,Methodist
5,Buckley Road,Edward,Clarke,2,Son,NA,Male,Child,None,NA
5,Buckley Road,Neil,Holt,25,Lodger,Single,Male,Clothing/textile technologist,None,None
5,Buckley Road,Beth,Gibbons,59,Lodger,Single,Female,"Designer, graphic",None,Christian
6,Buckley Road,Leah,Wood,33,Head,Single,Female,Financial adviser,None,Jewish
7,Buckley Road,Dorothy,Marshall,55,Head,Single,Female,Fine artist,None,None
7,Buckley Road,Leon,Moran,59,Partner,Single,Male,Museum education officer,None,None
7,Buckley Road,Aimee,Marshall,18,Daughter,Single,Female,Student,None,None
7,Buckley Road,Ellie,Marshall,16,Daughter,NA,Female,Student,None,NA
8,Buckley Road,Patricia,Singh,56,Head,Widowed,Female,Medical sales representative,None,Christian
9,Buckley Road,Heather,Hall-Patel,35,Head,Divorced,Female,"Lecturer, further education",None,Christian
9,Buckley Road,Louis,Hall-Patel,9,Son,NA,Male,Student,None,NA
9,Buckley Road,Sam,Hall-Patel,2,Son,NA,Male,Child,None,NA
10,Buckley Road,Jade,Bryan,62,Head,Married,Female,Unemployed,None,Muslim
10,Buckley Road,Matthew,Bryan,66,Husband,Married,Male,Network engineer,None,Muslim
11,Buckley Road,Michael,Smith,62,Head,Single,Male,"Conservator, museum/gallery",None,Methodist
11,Buckley Road,Margaret,Andrews,63,Partner,Single,Female,Management consultant,None,Methodist
12,Buckley Road,Tom,Jones,43,Head,Single,M,Unemployed,None,None
13,Buckley Road,Julie,Armstrong,30,Head,Single,Female,Unemployed,None,Catholic
13,Buckley Road,Shane,Armstrong,1,Son,NA,Male,Child,None,NA
14,Buckley Road,Jade,Gill,27,Head,Married,Female,Early years teacher,None,None
14,Buckley Road,Daniel,Gill,25,Husband,Married,Male,"Lighting technician, broadcasting/film/video",None,None
14,Buckley Road,Tracey,Gill,1,Daughter,NA,Female,Child,None,NA
14,Buckley Road,Barry,Hewitt,55,Lodger,Single,Male,Contractor,None,Methodist
14,Buckley Road,June,Mahmood,35,Visitor,Single,Female,"Nurse, mental health",None,None
15,Buckley Road,Irene,Austin-Wood,44,Head,Married,Female,Public relations account executive,None,None
15,Buckley Road,Bruce,Austin-Wood-Lloyd,43,Husband,Married,Male,Management consultant,None,None
15,Buckley Road,Hannah,Austin-Wood-Lloyd,11,Daughter,NA,Female,Student,None,NA
15,Buckley Road,Aaron,Austin-Wood-Lloyd,9,Son,NA,Male,Student,None,NA
15,Buckley Road,Naomi,Austin-Wood-Lloyd,5,Daughter,NA,Female,Student,None,NA
1,Capricorn Road,Connor,Chapman,61,Head,Single,Male,Administrator,None,None
1,Capricorn Road,Andrea,Wood,51,None,Single,Female,Mechanical engineer,None,None
1,Capricorn Road,Ronald,Cole,39,None,Single,Male,Forensic scientist,None,None
1,Capricorn Road,Anne,Jones,55,None,Single,Female,Ambulance person,None,Christian
2,Capricorn Road,Jemma,Jenkins,48,Head,Divorced,Female,Radiation protection practitioner,None,Catholic
2,Capricorn Road,Bryan,Jenkins,21,Son,Divorced,Male,University Student,None,Catholic
2,Capricorn Road,Lisa,Jenkins,21,Daughter,Divorced,Female,University Student,None,None
3,Capricorn Road,Jayne,Lewis,59,Head,Married,Female,Ecologist,None,Christian
3,Capricorn Road,Gary,Lewis,61,Husband,Married,Male,Chiropodist,None,None
3,Capricorn Road,Joel,Jones,20,Son,Single,Male,University Student,None,Christian
3,Capricorn Road,Liam,Jones,15,Son,NA,Male,Student,None,NA
4,Capricorn Road,Denise,Jones,61,Head,Married,Female,"Scientist, forensic",None,Methodist
4,Capricorn Road,Brian,Jones,63,Husband,Married,Male,Photographer,None,None
5,Capricorn Road,Abdul,Thompson,32,Head,Single,Male,"Engineer, agricultural",None,None
6,Capricorn Road,Jade,Bailey,61,Head,Married,Female,Music therapist,None,Christian
6,Capricorn Road,George,Bailey,67,Husband,Married,Male,Communications engineer,None,Christian
6,Capricorn Road,Scott,Bailey,22,Son,Single,Male,University Student,None,Christian
6,Capricorn Road,Gerald,Bailey,18,Son,Single,Male,Student,None,Christian
6,Capricorn Road,Raymond,Bailey,18,Son,Single,Male,Student,None,Christian
6,Capricorn Road,Louise,Bailey,15,Daughter,NA,Female,Student,None,NA
7,Capricorn Road,Jayne,Cook,52,Head,Single,Female,Therapeutic radiographer,None,Christian
7,Capricorn Road,Robin,Harris,52,Partner,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
7,Capricorn Road,Colin,Cook,17,Son,NA,Male,Student,None,NA
7,Capricorn Road,Darren,Cook,15,Son,NA,Male,Student,None,NA
8,Capricorn Road,Joe,Stone,34,Head,Widowed,Male,Unemployed,None,None
8,Capricorn Road,Jean,Stone,12,Daughter,NA,Female,Student,None,NA
8,Capricorn Road,Amy,Stone,11,Daughter,NA,Female,Student,None,NA
8,Capricorn Road,Jonathan,Stone,7,Son,NA,Male,Student,None,NA
9,Capricorn Road,Nicole,Taylor,53,Head,Married,Female,"Psychologist, occupational",None,Methodist
9,Capricorn Road,Ian,Taylor,50,Husband,Married,Male,"Designer, graphic",None,Methodist
9,Capricorn Road,Anna,Taylor,26,Daughter,Single,Female,"Teacher, early years/pre",None,Methodist
9,Capricorn Road,Dylan,Smith,24,Son,Divorced,Male,Clinical research associate,None,Methodist
9,Capricorn Road,Nathan,Smith,6,Son,NA,Male,Student,None,NA
10,Capricorn Road,Lindsey,Andrews,50,Head,Single,Female,Trade union research officer,None,Catholic
10,Capricorn Road,Rosie,Fisher,41,None,Single,Female,Sub,None,None
10,Capricorn Road,Albert,Scott,50,None,Single,Male,Orthoptist,None,Christian
10,Capricorn Road,Carolyn,Smith,41,None,Single,Female,"Engineer, aeronautical",None,None
11,Capricorn Road,Christopher,Robinson,59,Head,Divorced,Male,Community pharmacist,None,None
11,Capricorn Road,Molly,Robinson,24,Daughter,Single,Female,Dealer,None,None
11,Capricorn Road,Tony,Robinson,22,Son,Single,Male,University Student,None,None
11,Capricorn Road,Vanessa,Robinson,20,Daughter,Single,Female,Occupational hygienist,None,None
11,Capricorn Road,Tina,Robinson,19,Daughter,Divorced,Female,University Student,None,None
12,Capricorn Road,Beth,Jones,40,Head,Divorced,Female,Clinical psychologist,None,Methodist
12,Capricorn Road,Katy,Jones,11,Daughter,NA,Female,Student,None,NA
12,Capricorn Road,Pamela,Jones,7,Daughter,NA,Female,Student,None,NA
12,Capricorn Road,Jack,Jones,4,Son,NA,Male,Child,None,NA
12,Capricorn Road,Katie,Jones,2,Daughter,NA,Female,Child,None,NA
12,Capricorn Road,Julie,Williams,54,Lodger,Divorced,Female,"Therapist, art",None,Christian
13,Capricorn Road,Pamela,Schofield,30,Head,Single,Female,Homeopath,None,None
13,Capricorn Road,Kate,Schofield,4,Daughter,NA,Female,Child,None,NA
13,Capricorn Road,Nicholas,Schofield,2,Son,NA,Male,Child,None,NA
13,Capricorn Road,Iain,Knowles,31,Lodger,Single,Male,Marine scientist,None,None
14,Capricorn Road,Anna,Potts,55,Head,Single,Female,Oceanographer,None,Christian
14,Capricorn Road,Clive,Young,18,None,Single,Male,Student,None,NA
14,Capricorn Road,Howard,Abbott,42,None,Single,Male,Structural engineer,None,Christian
15,Capricorn Road,Chloe,Austin,40,Head,Married,Female,"Embryologist, clinical",None,Catholic
15,Capricorn Road,Shaun,Austin,42,Husband,Married,Male,Unemployed,None,Catholic
15,Capricorn Road,Sian,Wong,18,Daughter,Single,Female,Student,None,None
15,Capricorn Road,Kevin,Wong,17,Son,NA,Male,Student,None,NA
16,Capricorn Road,Brian,Anderson,42,Head,Married,Male,"Psychotherapist, dance movement",None,Christian
16,Capricorn Road,Michelle,Anderson,40,Wife,Married,Female,Civil Service administrator,None,Christian
16,Capricorn Road,Richard,Anderson,14,Nephew,NA,male,Student,None,NA
16,Capricorn Road,Aaron,Anderson,12,Nephew,NA,Male,Student,None,NA
17,Capricorn Road,Adrian,Holland,64,Head,Married,Male,"Engineer, structural",None,Christian
17,Capricorn Road,Melanie,Holland,67,Wife,Married,Female,Oncologist,None,Christian
17,Capricorn Road,Paul,Holland,36,Son,Single,Male,Electrical engineer,None,Christian
18,Capricorn Road,Alison,Williams,54,Head,Married,Female,Newspaper journalist,None,Christian
18,Capricorn Road,Bruce,Williams,56,Husband,Married,Male,"Designer, multimedia",None,None
18,Capricorn Road,Toby,Williams,29,Son,Divorced,Male,Teaching laboratory technician,None,Christian
18,Capricorn Road,Nigel,Williams,1,Son,NA,Male,Child,None,NA
19,Capricorn Road,Holly,Thompson,47,Head,Divorced,Female,Unemployed,None,Christian
19,Capricorn Road,Jean,Thompson,10,Daughter,NA,Female,Student,None,NA
20,Capricorn Road,Ashley,Goodwin,58,Head,Single,Male,Media planner,None,Christian
21,Capricorn Road,Lewis,Perkins,33,Head,Single,Male,Early years teacher,None,None
21,Capricorn Road,Jeremy,Harrison,27,None,Single,Male,Music tutor,None,None
21,Capricorn Road,Gemma,Swift,48,None,Single,Female,Learning disability nurse,None,Catholic
21,Capricorn Road,Bethan,Wilson,59,None,Single,Female,Research scientist (maths),None,None
22,Capricorn Road,Joseph,Bray,24,Head,Single,Male,Computer games developer,None,None
22,Capricorn Road,Ashley,Cooper,20,None,Single,Male,University Student,None,Methodist
22,Capricorn Road,Danny,Waters,19,None,Single,Male,University Student,None,None
23,Capricorn Road,Mark,James,40,Head,Married,Male,Accommodation manager,None,None
23,Capricorn Road,Aimee,James-Richardson,34,Wife,Married,Female,Unemployed,None,None
23,Capricorn Road,Jacqueline,James-Richardson,4,Daughter,NA,Female,Child,None,NA
23,Capricorn Road,Sheila,James-Richardson,2,Daughter,NA,Female,Child,None,NA
23,Capricorn Road,Mark,James-Richardson,0,Son,NA,Male,Child,None,NA
23,Capricorn Road,Julia,Yates,40,Lodger,Divorced,Female,Contractor,None,None
24,Capricorn Road,Douglas,Rogers,59,Head,Married,Male,"Administrator, arts",None,None
24,Capricorn Road,Dawn,Rogers,55,Wife,Married,Female,Automotive engineer,None,None
25,Capricorn Road,Abigail,Howell,38,Head,Single,Female,Barista,None,Catholic
26,Capricorn Road,Amy,Peters,18,Head,Single,Female,University Student,None,Christian
26,Capricorn Road,Melissa,Robinson,18,None,Single,Female,University Student,None,Catholic
26,Capricorn Road,Frank,Atkins,22,None,Single,Male,University Student,None,None
26,Capricorn Road,Marion,Sutton,20,None,Single,Female,University Student,None,Catholic
27,Capricorn Road,Louise,Thompson,24,Head,Single,Female,Nature conservation officer,None,Methodist
27,Capricorn Road,Liam,Nolan,41,None,Single,Male,Counsellor,None,None
27,Capricorn Road,Bethan,Phillips,23,None,Single,Female,Fine artist,None,None
27,Capricorn Road,Amelia,Walton,53,None,Single,Female,Insurance account manager,None,None
28,Capricorn Road,Nicole,Kemp,42,Head,Married,Female,"Engineer, maintenance (IT)",None,Methodist
28,Capricorn Road,Dale,Kemp-Porter,42,Husband,Married,Male,Psychiatric nurse,None,Methodist
28,Capricorn Road,Alison,Kemp-Porter,14,Daughter,NA,Female,Student,None,NA
29,Capricorn Road,Joyce,Morris,81,Head,Widowed,Female,Unemployed,None,None
29,Capricorn Road,Claire,Morris,42,Daughter,Single,Female,"Scientist, marine",None,None
29,Capricorn Road,Norman,Morris,38,Son,Divorced,Male,Financial adviser,None,None
29,Capricorn Road,Hollie,Morris,38,Daughter,Single,Female,Herbalist,None,None
30,Capricorn Road,Anne,Winter,59,Head,Married,Female,"Education officer, museum",None,Christian
30,Capricorn Road,Frederick,Winter,60,Husband,Married,Male,"Designer, furniture",None,Christian
30,Capricorn Road,Tom,Winter,21,Son,Single,Male,University Student,None,Christian
30,Capricorn Road,Norman,Winter,8,Son,NA,Male,Student,None,NA
31,Capricorn Road,Rosie,Murphy,44,Head,Married,Female,Web designer,None,Christian
31,Capricorn Road,Joe,Murphy,48,Husband,Married,Male,Trade mark attorney,None,Christian
31,Capricorn Road,Pamela,Murphy,10,Daughter,NA,female,Student,None,NA
31,Capricorn Road,Victor,Murphy,6,Son,NA,Male,Student,None,NA
32,Capricorn Road,Frances,Moore,24,Head,Married,Female,Wellsite geologist,None,None
32,Capricorn Road,Dominic,Taylor,26,Husband,Married,Male,"Radiographer, therapeutic",None,None
32,Capricorn Road,Shaun,Moore,0,Son,NA,male,Child,None,NA
32,Capricorn Road,Rebecca,Wong,62,Lodger,Single,Female,Set designer,None,Christian
33,Capricorn Road,Mandy,Atkinson,39,Head,Married,Female,Interior and spatial designer,None,None
33,Capricorn Road,Thomas,Atkinson,41,Husband,Married,Male,"Surveyor, rural practice",None,None
33,Capricorn Road,Tracy,Atkinson,9,Daughter,NA,Female,Student,None,NA
33,Capricorn Road,Dominic,Atkinson,6,Son,NA,Male,Student,Unknown Infection,NA
34,Capricorn Road,Gillian,Bryan,36,Head,Single,Female,"Designer, ceramics/pottery",None,Methodist
34,Capricorn Road,Raymond,Ross,40,Partner,Single,Male,"Engineer, maintenance (IT)",None,Methodist
34,Capricorn Road,Elaine,Bryan,9,Daughter,NA,Female,Student,None,NA
34,Capricorn Road,Ashley,Bryan,5,Son,NA,Male,Student,None,NA
35,Capricorn Road,Natalie,Clarke,51,Head,Married,Female,"Engineer, control and instrumentation",None,Christian
35,Capricorn Road,Elliot,Clarke,50,Husband,Married,Male,Magazine journalist,None,Christian
35,Capricorn Road,Donna,Clarke,15,Daughter,NA,Female,Student,None,NA
35,Capricorn Road,Stephanie,Clarke,12,Daughter,NA,Female,Student,None,NA
36,Capricorn Road,Paula,Berry,27,Head,Married,Female,"Designer, graphic",None,None
36,Capricorn Road,Jack,Berry,23,Husband,Married,Male,Agricultural consultant,None,None
36,Capricorn Road,Stanley,Berry,1,Son,NA,Male,Child,None,NA
36,Capricorn Road,Naomi,Bennett,51,Lodger,Single,Female,Environmental education officer,None,Christian
37,Capricorn Road,Lorraine,Turner,36,Head,Married,Female,Technical brewer,None,None
37,Capricorn Road,Ashley,Turner,43,Husband,Married,Male,Waste management officer,None,None
37,Capricorn Road,Dean,Turner,8,Son,NA,Male,Student,None,NA
37,Capricorn Road,Maureen,Turner,7,Daughter,NA,f,Student,None,NA
38,Capricorn Road,Trevor,Jones,26,Head,Single,Male,"Horticulturist, amenity",None,Christian
38,Capricorn Road,Julian,Johnson,49,Visitor,Divorced,Male,Social researcher,None,Christian
38,Capricorn Road,Adrian,Stevenson,55,Lodger,Single,Male,"Engineer, aeronautical",None,Christian
38,Capricorn Road,Raymond,Patterson,22,Lodger,Single,Male,University Student,None,None
1,Jenkins Drives,Gerard,Ahmed,29,Head,Single,Male,"Copywriter, advertising",None,None
2,Jenkins Drives,Barbara,Cox,54,Head,Single,Female,"Social research officer, government",None,Methodist
2,Jenkins Drives,Ricky,Hodgson,56,Partner,Single,Male,"Therapist, occupational",None,None
2,Jenkins Drives,Abdul,Cox,16,Son,NA,Male,Student,None,NA
3,Jenkins Drives,Leanne,Pratt,67,Head,Married,Female,Dramatherapist,None,Methodist
3,Jenkins Drives,Ryan,Pratt,63,Husband,Married,Male,Unemployed,None,Methodist
4,Jenkins Drives,Toby,Watkins,74,Head,Married,Male,Retired Youth worker,None,Jewish
4,Jenkins Drives,Julia,Watkins,78,Wife,Married,Female,Retired Nutritional therapist,None,Jewish
5,Jenkins Drives,Kathleen,Wood,64,Head,Married,Female,Commercial art gallery manager,None,None
5,Jenkins Drives,Connor,Wood,68,Husband,Married,Male,Retired Forensic scientist,None,None
5,Jenkins Drives,Denise,Wood,35,Daughter,Single,Female,Firefighter,None,None
5,Jenkins Drives,Natasha,Wood,34,Daughter,Divorced,Female,Community education officer,None,None
6,Jenkins Drives,Jane,Richardson,41,Head,Single,Female,"Scientist, forensic",None,None
6,Jenkins Drives,Mohammed,Turner,42,Partner,Single,Male,Energy engineer,None,None
7,Jenkins Drives,Francesca,Wood,77,Head,Married,Female,Retired Interpreter,None,Christian
7,Jenkins Drives,Allan,Wood,77,Husband,Married,Male,"Retired Engineer, mining",None,Christian
8,Jenkins Drives,Sophie,Roberts,51,Head,Single,Female,Unemployed,None,None
8,Jenkins Drives,Glenn,Roberts,9,Son,NA,Male,Student,None,NA
8,Jenkins Drives,Dorothy,Roberts,8,Daughter,NA,Female,Student,None,NA
9,Jenkins Drives,Katy,Evans,60,Head,Widowed,Female,Public house manager,None,None
9,Jenkins Drives,Amy,Evans,39,Daughter,Single,Female,Estate agent,None,None
9,Jenkins Drives,Carolyn,Evans,38,Daughter,Single,Female,Intelligence analyst,None,None
10,Jenkins Drives,Teresa,Simmons,44,Head,Married,Female,Archaeologist,None,None
10,Jenkins Drives,Antony,Simmons,51,Husband,Married,Male,Insurance underwriter,None,None
10,Jenkins Drives,Chloe,Simmons,13,Daughter,NA,Female,Student,None,NA
11,Jenkins Drives,Clare,Smith,35,Head,Single,Female,Geochemist,None,Christian
11,Jenkins Drives,Jay,Cunningham,44,Cousin,Single,Male,"Programmer, systems",None,Christian
12,Jenkins Drives,Barbara,Holland,65,Head,Married,Female,Unemployed,None,Christian
12,Jenkins Drives,Luke,Holland,68,Husband,Married,Male,"Retired Horticulturist, commercial",None,Christian
13,Jenkins Drives,Emily,Charlton,40,Head,Single,Female,Unemployed,None,Methodist
14,Jenkins Drives,Louise,Gibson,43,Head,Married,Female,Brewing technologist,None,None
14,Jenkins Drives,Connor,Gibson,46,Husband,Married,M,"Presenter, broadcasting",None,None
